id,item,kind,judgment,presentation,participants,items
39,2,syn,1,text,50,6
39,4,syn,2,text,50,6
39,3,syn,2,text,50,6
39,1,syn,1,text,50,6
40,3,syn,5,text,50,6
40,2,syn,2,text,50,6
40,1,syn,2,text,50,6
40,6,syn,5,text,50,6
40,4,syn,3,text,50,6
40,5,syn,1,text,50,6
41,4,syn,1,text,50,6
41,5,syn,1,text,50,6
41,1,syn,1,text,50,6
41,2,syn,1,text,50,6
41,3,syn,5,text,50,6
41,6,syn,1,text,50,6
42,2,syn,1,text,50,6
42,4,syn,1,text,50,6
42,5,syn,1,text,50,6
42,1,syn,1,text,50,6
42,6,syn,1,text,50,6
42,3,syn,1,text,50,6
43,4,syn,7,text,50,6
43,3,syn,3,text,50,6
43,6,syn,1,text,50,6
43,1,syn,1,text,50,6
43,2,syn,1,text,50,6
43,5,syn,1,text,50,6
44,4,syn,1,text,50,6
44,6,syn,1,text,50,6
44,3,syn,1,text,50,6
44,1,syn,1,text,50,6
44,2,syn,1,text,50,6
44,5,syn,1,text,50,6
45,1,syn,5,text,50,6
45,6,syn,1,text,50,6
45,2,syn,1,text,50,6
45,3,syn,5,text,50,6
45,5,syn,5,text,50,6
45,4,syn,5,text,50,6
46,6,syn,1,text,50,6
46,1,syn,1,text,50,6
46,2,syn,1,text,50,6
46,3,syn,2,text,50,6
46,4,syn,1,text,50,6
46,5,syn,2,text,50,6
47,4,syn,1,text,50,6
47,6,syn,1,text,50,6
47,5,syn,1,text,50,6
47,1,syn,1,text,50,6
47,3,syn,1,text,50,6
47,2,syn,1,text,50,6
48,4,syn,2,text,50,6
48,3,syn,4,text,50,6
48,5,syn,3,text,50,6
48,1,syn,1,text,50,6
48,6,syn,1,text,50,6
48,2,syn,1,text,50,6
49,4,syn,1,text,50,6
49,2,syn,1,text,50,6
49,1,syn,1,text,50,6
49,6,syn,1,text,50,6
49,5,syn,1,text,50,6
49,3,syn,1,text,50,6
50,6,syn,1,text,50,6
50,3,syn,1,text,50,6
50,4,syn,1,text,50,6
50,5,syn,1,text,50,6
50,2,syn,1,text,50,6
50,1,syn,1,text,50,6
